"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Technikorb\safe_meet_alert\lib\src\main user\emergency contacts\emergency_contact_widgets.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 8, 128
"e:\Technikorb\safe_meet_alert\lib\src\main user\emergency contacts\emergency_contects.dart", "Dart", 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 6, 185
"e:\Technikorb\safe_meet_alert\lib\src\main user\emergency contacts\search_bar.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 2, 5, 74
"e:\Technikorb\safe_meet_alert\lib\src\main user\meeting code\meeting_code.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 6, 149
"e:\Technikorb\safe_meet_alert\lib\src\main user\meeting code\number.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"e:\Technikorb\safe_meet_alert\lib\src\main user\meeting code\pin_code_bar.dart", "Dart", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 30, 10, 207
"e:\Technikorb\safe_meet_alert\lib\src\onboarding\onboarding_view.dart", "Dart", 0, 0, 0, 376, 0, 0, 0, 0, 0, 0, 239, 14, 629
"e:\Technikorb\safe_meet_alert\lib\src\profile\profilesetup_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 6, 192
"e:\Technikorb\safe_meet_alert\lib\src\splash\splash_view.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 15, 12, 119
"e:\Technikorb\safe_meet_alert\lib\src\utils_screens\congrats_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 5, 66
"e:\Technikorb\safe_meet_alert\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Technikorb\safe_meet_alert\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Technikorb\safe_meet_alert\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Technikorb\safe_meet_alert\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Technikorb\safe_meet_alert\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Technikorb\safe_meet_alert\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 4, 11
"e:\Technikorb\safe_meet_alert\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Technikorb\safe_meet_alert\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Technikorb\safe_meet_alert\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"e:\Technikorb\safe_meet_alert\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\Technikorb\safe_meet_alert\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 57, 16, 95
"e:\Technikorb\safe_meet_alert\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\Technikorb\safe_meet_alert\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"e:\Technikorb\safe_meet_alert\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\Technikorb\safe_meet_alert\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Technikorb\safe_meet_alert\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Technikorb\safe_meet_alert\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"e:\Technikorb\safe_meet_alert\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Technikorb\safe_meet_alert\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Technikorb\safe_meet_alert\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Technikorb\safe_meet_alert\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"e:\Technikorb\safe_meet_alert\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Technikorb\safe_meet_alert\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"e:\Technikorb\safe_meet_alert\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 248, 37, 9162, 13, 25, 36, 466, 89, 8, 1754, 730, 13067
